danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album_name,artist_name
0.463,0.81,7,-6.271,1,0.0349,0.191,0.0,0.397,0.891,130.646,audio_features,0g1NjFyzJ6FFEOTsuiJLdv,spotify:track:0g1NjFyzJ6FFEOTsuiJLdv,https://api.spotify.com/v1/tracks/0g1NjFyzJ6FFEOTsuiJLdv,https://api.spotify.com/v1/audio-analysis/0g1NjFyzJ6FFEOTsuiJLdv,146800,4,I Want To Hold Your Hand - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.635,0.394,2,-8.44,1,0.0269,0.222,2.65e-06,0.0892,0.64,111.246,audio_features,5P4CWxatRti2grRSn1mywW,spotify:track:5P4CWxatRti2grRSn1mywW,https://api.spotify.com/v1/tracks/5P4CWxatRti2grRSn1mywW,https://api.spotify.com/v1/audio-analysis/5P4CWxatRti2grRSn1mywW,139160,3,This Boy - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.414,0.572,4,-7.443,1,0.0292,0.17,0.0,0.249,0.829,77.818,audio_features,72cBk2iqWcax9eoIXGNVM6,spotify:track:72cBk2iqWcax9eoIXGNVM6,https://api.spotify.com/v1/tracks/72cBk2iqWcax9eoIXGNVM6,https://api.spotify.com/v1/audio-analysis/72cBk2iqWcax9eoIXGNVM6,128947,4,All My Loving - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.373,0.845,2,-6.689,1,0.0533,0.443,0.0,0.0885,0.966,161.722,audio_features,5EOkqZJqOHQPNf2sLwhXyY,spotify:track:5EOkqZJqOHQPNf2sLwhXyY,https://api.spotify.com/v1/tracks/5EOkqZJqOHQPNf2sLwhXyY,https://api.spotify.com/v1/audio-analysis/5EOkqZJqOHQPNf2sLwhXyY,165693,4,Roll Over Beethoven - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.508,0.515,9,-6.039,1,0.0292,0.529,0.0,0.24,0.593,76.859,audio_features,2IHsEnguMjHIvemEcl50nE,spotify:track:2IHsEnguMjHIvemEcl50nE,https://api.spotify.com/v1/tracks/2IHsEnguMjHIvemEcl50nE,https://api.spotify.com/v1/audio-analysis/2IHsEnguMjHIvemEcl50nE,181667,4,You Really Got A Hold On Me - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.476,0.751,0,-5.887,1,0.0428,0.121,0.0,0.341,0.922,171.595,audio_features,4iVudOuRcKPGK8y7GqSZKP,spotify:track:4iVudOuRcKPGK8y7GqSZKP,https://api.spotify.com/v1/tracks/4iVudOuRcKPGK8y7GqSZKP,https://api.spotify.com/v1/audio-analysis/4iVudOuRcKPGK8y7GqSZKP,133093,4,Can't Buy Me Love - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.594,0.792,0,-5.971,1,0.0299,0.0221,0.0,0.451,0.962,129.021,audio_features,1XkKiB77jpcBytfc8jWS2V,spotify:track:1XkKiB77jpcBytfc8jWS2V,https://api.spotify.com/v1/tracks/1XkKiB77jpcBytfc8jWS2V,https://api.spotify.com/v1/audio-analysis/1XkKiB77jpcBytfc8jWS2V,153360,4,You Can't Do That - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.574,0.946,0,-4.141,1,0.0365,0.127,0.0,0.178,0.783,137.622,audio_features,7nGA8YRPmsDmLZ55DIGEdC,spotify:track:7nGA8YRPmsDmLZ55DIGEdC,https://api.spotify.com/v1/tracks/7nGA8YRPmsDmLZ55DIGEdC,https://api.spotify.com/v1/audio-analysis/7nGA8YRPmsDmLZ55DIGEdC,155493,4,A Hard Day's Night - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.731,0.326,1,-10.931,0,0.0315,0.725,3e-06,0.0745,0.647,112.474,audio_features,5VTVK2RtOj6tKH9OPKMht7,spotify:track:5VTVK2RtOj6tKH9OPKMht7,https://api.spotify.com/v1/tracks/5VTVK2RtOj6tKH9OPKMht7,https://api.spotify.com/v1/audio-analysis/5VTVK2RtOj6tKH9OPKMht7,152360,4,And I Love Her - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.633,0.779,9,-6.849,1,0.0491,0.352,0.0,0.087,0.774,138.581,audio_features,39erXhIEghGjVMcRl9bRRf,spotify:track:39erXhIEghGjVMcRl9bRRf,https://api.spotify.com/v1/tracks/39erXhIEghGjVMcRl9bRRf,https://api.spotify.com/v1/audio-analysis/39erXhIEghGjVMcRl9bRRf,164547,4,Eight Days A Week - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
